tbl,col,type,rows,non_null,null_pct
sys_capability_score_lineage,capability_score_lineage_child_value,numeric,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_weight,numeric,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_computed_at,timestamp with time zone,316,316,0.0
sys_capability_score_lineage,created_at,timestamp with time zone,316,316,0.0
sys_capability_scores,capability_score_id,uuid,317,317,0.0
sys_capability_scores,capability_score_tenant_id,uuid,317,317,0.0
sys_capability_scores,capability_score_subject_type,character varying,317,317,0.0
sys_capability_scores,capability_score_subject_id,uuid,317,317,0.0
sys_capability_scores,capability_score_value,numeric,317,317,0.0
sys_capability_scores,capability_score_coverage,numeric,317,317,0.0
sys_capability_scores,capability_score_aggregation_mode,character varying,317,317,0.0
sys_capability_scores,capability_score_model_version,character varying,317,317,0.0
sys_capability_scores,capability_score_child_count,integer,317,317,0.0
sys_capability_scores,capability_score_payload,jsonb,317,317,0.0
sys_capability_scores,capability_score_computed_at,timestamp with time zone,317,317,0.0
sys_capability_scores,created_at,timestamp with time zone,317,317,0.0
sys_career_path_steps,career_path_step_id,uuid,35,35,0.0
sys_career_path_steps,career_path_step_path_id,uuid,35,35,0.0
sys_career_path_steps,career_path_step_ordinal,smallint,35,35,0.0
sys_career_path_steps,career_path_step_origin_position_id,uuid,35,0,100.0
sys_career_path_steps,career_path_step_target_position_id,uuid,35,0,100.0
sys_career_path_steps,career_path_step_required_proficiency_uplift,jsonb,35,35,0.0
sys_career_path_steps,career_path_step_typical_duration_months,integer,35,0,100.0
sys_career_path_steps,career_path_step_metadata,jsonb,35,35,0.0
sys_career_path_steps,created_at,timestamp with time zone,35,35,0.0
sys_career_path_steps,updated_at,timestamp with time zone,35,35,0.0
sys_career_paths,career_path_id,uuid,28,28,0.0
sys_career_paths,career_path_tenant_id,uuid,28,28,0.0
sys_career_paths,career_path_code,character varying,28,28,0.0
sys_career_paths,career_path_name,character varying,28,28,0.0
sys_career_paths,career_path_description,text,28,7,75.0
sys_career_paths,career_path_kind,character varying,28,28,0.0
sys_career_paths,career_path_is_global,boolean,28,28,0.0
sys_career_paths,career_path_metadata,jsonb,28,28,0.0
sys_career_paths,created_at,timestamp with time zone,28,28,0.0
sys_career_paths,created_by,uuid,28,0,100.0
sys_career_paths,updated_at,timestamp with time zone,28,28,0.0
sys_career_paths,updated_by,uuid,28,0,100.0
sys_compensation_bands,compensation_band_id,uuid,87,87,0.0
sys_compensation_bands,compensation_band_tenant_id,uuid,87,12,86.2
sys_compensation_bands,compensation_band_code,character varying,87,87,0.0
sys_compensation_bands,compensation_band_name,character varying,87,87,0.0
