entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:314,name,en,Life Science Technicians and Related Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3141,name,en,Life Science Technicians (excluding Medical),HARVEST
sys_occupation_classifications,ISCO_08:3142,name,en,Agricultural Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3143,name,en,Forestry Technicians,HARVEST
sys_occupation_classifications,ISCO_08:315,name,en,Ship and Aircraft Controllers and Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3151,name,en,Ships' Engineers,HARVEST
sys_occupation_classifications,ISCO_08:3152,name,en,Ships' Deck Officers and Pilots,HARVEST
sys_occupation_classifications,ISCO_08:3153,name,en,Aircraft Pilots and Related Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3154,name,en,Air Traffic Controllers,HARVEST
sys_occupation_classifications,ISCO_08:3155,name,en,Air Traffic Safety Electronics Technicians,HARVEST
sys_occupation_classifications,ISCO_08:32,name,en,Health Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:321,name,en,Medical and Pharmaceutical Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3211,name,en,Medical Imaging and Therapeutic Equipment Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3212,name,en,Medical and Pathology Laboratory Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3213,name,en,Pharmaceutical Technicians and Assistants,HARVEST
sys_occupation_classifications,ISCO_08:3214,name,en,Medical and Dental Prosthetic Technicians,HARVEST
sys_occupation_classifications,ISCO_08:322,name,en,Nursing and Midwifery Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3221,name,en,Nursing Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3222,name,en,Midwifery Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:323,name,en,Traditional and Complementary Medicine Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3230,name,en,Traditional and Complementary Medicine Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:324,name,en,Veterinary Technicians and Assistants,HARVEST
sys_occupation_classifications,ISCO_08:3240,name,en,Veterinary Technicians and Assistants,HARVEST
sys_occupation_classifications,ISCO_08:325,name,en,Other Health Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3251,name,en,Dental Assistants and Therapists,HARVEST
sys_occupation_classifications,ISCO_08:3252,name,en,Medical Records and Health Information Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3253,name,en,Community Health Workers,HARVEST
sys_occupation_classifications,ISCO_08:3254,name,en,Dispensing Opticians,HARVEST
sys_occupation_classifications,ISCO_08:3255,name,en,Physiotherapy Technicians and Assistants,HARVEST
sys_occupation_classifications,ISCO_08:3256,name,en,Medical Assistants,HARVEST
sys_occupation_classifications,ISCO_08:3257,name,en,Environmental and Occupational Health Inspectors and Associates,HARVEST
sys_occupation_classifications,ISCO_08:3258,name,en,Ambulance Workers,HARVEST
sys_occupation_classifications,ISCO_08:3259,name,en,Health Associate Professionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:33,name,en,Business and Administration Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:331,name,en,Financial and Mathematical Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3311,name,en,Securities and Finance Dealers and Brokers,HARVEST
sys_occupation_classifications,ISCO_08:3312,name,en,Credit and Loans Officers,HARVEST
sys_occupation_classifications,ISCO_08:3313,name,en,Accounting Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3314,name,en,"Statistical, Mathematical and Related Associate Professionals",HARVEST
sys_occupation_classifications,ISCO_08:3315,name,en,Valuers and Loss Assessors,HARVEST
