scheme,code,parent_code,level,name
ISCO_08,4222,422,4,Tecnici dei centri di informazione
ISCO_08,4223,422,4,Operatori di centrali telefoniche
ISCO_08,4224,422,4,Portieri di albergo
ISCO_08,4225,422,4,Addetti all’informazione
ISCO_08,4226,422,4,Addetti alla reception (compiti generali)
ISCO_08,4227,422,4,Addetti alla rilevazione e alle indagini di mercato
ISCO_08,4229,422,4,Personale addetto all’informazione della clientela non classificato altrove
ISCO_08,43,4,2,Impiegati addetti ai servizi contabili e finanziari e alla registrazione dei materiali
ISCO_08,431,43,3,Personale addetto ai servizi contabili e finanziari
ISCO_08,4311,431,4,Aiuto contabili
ISCO_08,4312,431,4,"Addetti a servizi statistici, finanziari e assicurativi"
ISCO_08,4313,431,4,Addetti buste paga
ISCO_08,432,43,3,Personale addetto alla registrazione dei materiali e alla gestione amministrativa dei trasporti
ISCO_08,4321,432,4,Addetti alla gestione degli stock
ISCO_08,4322,432,4,Addetti alla produzione
ISCO_08,4323,432,4,Addetti alla gestione amministrativa dei trasporti
ISCO_08,44,4,2,Altri impiegati di ufficio
ISCO_08,441,44,3,Altri impiegati di ufficio
ISCO_08,4411,441,4,Addetti a biblioteche
ISCO_08,4412,441,4,Addetti all’inoltro e allo smistamento di posta e documentazione
ISCO_08,4413,441,4,"Addetti alla codifica, alla correzione di bozze ed assimilati"
ISCO_08,4414,441,4,Scrivani ed assimilati
ISCO_08,4415,441,4,Addetti ad archivi e schedari
ISCO_08,4416,441,4,Addetti alla gestione del personale
ISCO_08,4419,441,4,Altri impiegati di ufficio non classificati altrove
ISCO_08,5,,1,Professioni nelle attività commerciali e nei servizi
ISCO_08,51,5,2,Professioni nei servizi alle persone
ISCO_08,511,51,3,"Assistenti di viaggio, accompagnatori e guide"
ISCO_08,5111,511,4,Assistenti di viaggio e steward
ISCO_08,5112,511,4,Controllori e bigliettai di trasporti pubblici
ISCO_08,5113,511,4,Guide
ISCO_08,512,51,3,Cuochi
ISCO_08,5120,512,4,Cuochi
ISCO_08,513,51,3,Camerieri e baristi
ISCO_08,5131,513,4,Camerieri
ISCO_08,5132,513,4,Baristi
ISCO_08,514,51,3,"Parrucchieri, estetisti ed assimilati"
ISCO_08,5141,514,4,Parrucchieri
ISCO_08,5142,514,4,Estetisti ed assimilati
ISCO_08,515,51,3,Supervisori di servizi di manutenzione e pulizia
